Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9;;;;;;;;;;;;;;;
Machine Learning;Machine Learning;Amazon ML;Evaluation;Box Usage;AmazonML;%AMLBoxUsage;EvaluateModel;;;;;;;;;;;;;;;;
IoT;IoT;AWS Greengrass;Active Devices;Active Devices;AWSGreengrass;%ActiveGGC-Devices;SingleNode;;;;;;;;;;;;;;;;
Blockchain;Blockchain;Amazon Managed Blockchain;Node;Node Usage;AmazonManagedBlockchain;%Node%;;;;;;;;;;;;;;;;;
Blockchain;Blockchain;Amazon Managed Blockchain;Additional Costs;Tax;AmazonManagedBlockchain;;;Tax%;;;;;;;;;;;;;;;
Blockchain;Blockchain;Amazon Managed Blockchain;Member;Member Usage;AmazonManagedBlockchain;%Member;;;;;;;;;;;;;;;;;
Security;Security;Amazon Macie;Data Security;Data Analysis;AmazonMacie;;;;;;;;;;;;;;;;;;
Management Tools;Management Tools;AWS Config;Additional Costs;Tax;AWSConfig;;;Tax%;;;;;;;;;;;;;;;
Management Tools;Management Tools;AWS Config;Configuration Item Recorded;Configuration Recording;AWSConfig;%ConfigurationItemRecorded;;;;;;;;;;;;;;;;;
Management Tools;Management Tools;AWS Config;Config Rule Evaluations;Rule Evaluation;AWSConfig;%ConfigRuleEvaluations;;;;;;;;;;;;;;;;;
Cost Management;Cost Management;AWS Cost Explorer;Additional Costs;Tax;AWSCostExplorer;;;Tax%;;;;;;;;;;;;;;;
Cost Management;Cost Management;AWS Cost Explorer;API Request;API Request;AWSCostExplorer;%APIRequest;;;;;;;;;;;;;;;;;
Cost Management;Cost Management;AWS Cost Explorer;Data Storage;Data Storage;AWSCostExplorer;%DataStorage;;;;;;;;;;;;;;;;;
Support;Partner Services;APN Fee;Additional Costs;Tax;APNFee;;;Tax%;;;;;;;;;;;;;;;
Support;Partner Services;APN Fee;Purchase;Billing;APNFee;%Purchase%;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
